Local authority,Site of loan,Count start,Count end,Type,Book,Issues
Barnet,Osidge,01/07/2019,30/09/2019,Language learning,Yes,1
Barnet,Osidge,01/07/2019,30/09/2019,Large print adult fiction,Yes,109
Barnet,Osidge,01/07/2019,30/09/2019,Large print adult non fiction,Yes,2
Barnet,Osidge,01/07/2019,30/09/2019,Music score,Yes,18
Barnet,Osidge,01/07/2019,30/09/2019,Teenage fiction,Yes,415
Barnet,Osidge,01/07/2019,30/09/2019,Teenage non fiction,Yes,91
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,Adult fiction,Yes,3
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,Children's fiction,Yes,5
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS Artefact,No,117
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS CD,No,3
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS DVD,No,39
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS Fiction,Yes,3030
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS Map,No,8
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS Non Fiction,Yes,10036
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS Picture,No,184
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS Poster,No,69
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,SLS Resource Pack,No,9
Barnet,Schools Library Resources Service,01/07/2019,30/09/2019,Teenage non fiction,Yes,1
Barnet,South Friern,01/07/2019,30/09/2019,Adult audiobook,No,12
Barnet,South Friern,01/07/2019,30/09/2019,Adult fiction,Yes,751
Barnet,South Friern,01/07/2019,30/09/2019,Adult non fiction,Yes,442
Barnet,South Friern,01/07/2019,30/09/2019,Adult reference,Yes,3
Barnet,South Friern,01/07/2019,30/09/2019,Barnet Book Club,Yes,1
Barnet,South Friern,01/07/2019,30/09/2019,Children's fiction,Yes,2523
Barnet,South Friern,01/07/2019,30/09/2019,Children's non fiction,Yes,364
Barnet,South Friern,01/07/2019,30/09/2019,Compact disc,No,6
Barnet,South Friern,01/07/2019,30/09/2019,DVD certificate 12,No,7
Barnet,South Friern,01/07/2019,30/09/2019,DVD certificate 18+,No,1
Barnet,South Friern,01/07/2019,30/09/2019,DVD certificate PG,No,3
Barnet,South Friern,01/07/2019,30/09/2019,DVD certificate U,No,14
Barnet,South Friern,01/07/2019,30/09/2019,Language learning,Yes,5
Barnet,South Friern,01/07/2019,30/09/2019,Large print adult fiction,Yes,24
Barnet,South Friern,01/07/2019,30/09/2019,Large print adult non fiction,Yes,1
Barnet,South Friern,01/07/2019,30/09/2019,Teenage fiction,Yes,114
Barnet,South Friern,01/07/2019,30/09/2019,Teenage non fiction,Yes,21
